title_length,text_length,sentiment_score,sentiment_label
16,623,-0.8107,negative
13,550,0.4939,positive
15,440,-0.7096,negative
13,324,-0.6369,negative
16,492,-0.7003,negative
14,315,0.296,positive
12,400,-0.7964,negative
11,342,-0.3612,negative
15,317,-0.5423,negative
12,250,0.0,neutral
12,502,-0.0516,negative
16,319,-0.4939,negative
14,291,0.0,neutral
10,278,0.0,neutral
14,413,-0.8143,negative
12,470,-0.2656,negative
14,374,-0.4767,negative
15,317,0.0,neutral
15,403,0.1531,positive
16,468,-0.9081,negative
7,412,0.0,neutral
12,374,0.5994,positive
14,482,0.0,neutral
15,455,0.0772,positive
13,265,0.4019,positive
15,385,-0.186,negative
13,395,-0.5106,negative
17,379,-0.4019,negative
15,366,0.0,neutral
13,356,0.296,positive
15,227,-0.1779,negative
14,420,-0.4588,negative
14,509,-0.86,negative
15,548,-0.296,negative
14,784,0.0,neutral
12,475,0.5574,positive
15,640,0.0,neutral
12,627,-0.8689,negative
12,794,-0.4767,negative
15,506,-0.0258,neutral
12,331,0.296,positive
9,451,0.4019,positive
18,376,-0.4404,negative
10,300,-0.5423,negative
11,377,-0.2263,negative
12,364,0.0,neutral
12,431,0.0,neutral
15,328,-0.25,negative
17,297,0.7269,positive
13,673,-0.0772,negative
12,309,-0.25,negative
12,402,0.0,neutral
16,656,-0.1027,negative
15,364,-0.765,negative
16,632,-0.34,negative
13,329,0.0,neutral
13,690,0.0,neutral
15,270,0.1298,positive
10,543,0.0,neutral
19,505,0.0,neutral
16,839,-0.5267,negative
12,315,-0.128,negative
13,521,-0.7983,negative
14,276,0.0,neutral
11,548,-0.9029,negative
14,547,-0.5413,negative
18,494,-0.5849,negative
16,806,-0.4767,negative
11,410,-0.8519,negative
14,392,0.2023,positive
13,57,0.0,neutral
13,366,0.0,neutral
10,478,-0.7579,negative
15,445,-0.886,negative
17,628,-0.6633,negative
12,320,-0.34,negative
16,388,-0.7906,negative
14,401,-0.2732,negative
13,393,0.0,neutral
14,501,-0.4588,negative
16,505,-0.3818,negative
17,399,-0.3818,negative
15,575,-0.2732,negative
16,554,-0.7579,negative
17,369,0.6369,positive
14,308,-0.4767,negative
15,549,0.4404,positive
10,477,-0.5994,negative
12,301,-0.8658,negative
13,466,0.6597,positive
15,508,0.0,neutral
15,459,0.0,neutral
18,408,0.0,neutral
13,608,-0.6705,negative
19,278,-0.6908,negative
13,310,-0.1197,negative
16,313,-0.0258,neutral
15,347,0.0,neutral
17,238,0.7351,positive
13,602,0.0,neutral
16,459,0.0,neutral
17,486,-0.3612,negative
12,311,-0.6408,negative
17,497,0.0,neutral
10,435,0.0,neutral
12,311,-0.6908,negative
14,401,0.5894,positive
18,386,0.128,positive
12,655,0.0,neutral
13,402,-0.2185,negative
16,642,0.6081,positive
15,501,-0.2617,negative
19,392,-0.25,negative
15,393,-0.4404,negative
17,657,-0.8625,negative
16,402,0.0772,positive
15,297,0.2732,positive
15,325,-0.8519,negative
13,272,0.0,neutral
17,461,-0.34,negative
12,523,0.0,neutral
14,360,0.4215,positive
16,389,-0.25,negative
13,487,-0.34,negative
17,507,-0.3182,negative
10,320,-0.8402,negative
12,518,0.5319,positive
13,381,-0.6249,negative
12,545,0.4404,positive
20,287,-0.296,negative
11,258,-0.6408,negative
17,309,-0.128,negative
14,371,-0.6289,negative
10,315,-0.8122,negative
16,443,0.6124,positive
16,230,0.0,neutral
13,326,-0.0772,negative
16,385,-0.5267,negative
17,886,0.4215,positive
12,668,-0.3612,negative
13,326,0.4576,positive
12,409,0.7506,positive
15,372,0.4767,positive
11,449,-0.6124,negative
16,435,-0.4767,negative
18,305,0.2263,positive
12,294,0.0,neutral
10,524,0.0,neutral
12,449,-0.6908,negative
14,382,-0.296,negative
15,436,-0.0772,negative
16,286,-0.1779,negative
14,363,0.128,positive
12,421,-0.4215,negative
13,356,-0.3744,negative
12,203,0.0,neutral
13,337,-0.1779,negative
13,363,0.3818,positive
14,487,-0.0516,negative
14,392,0.1695,positive
11,438,-0.4588,negative
17,322,0.1027,positive
15,421,-0.7964,negative
16,340,-0.4767,negative
15,337,-0.2023,negative
14,489,0.2907,positive
17,360,-0.6124,negative
13,517,0.1531,positive
13,362,-0.7269,negative
15,418,-0.3182,negative
14,315,-0.8176,negative
11,342,-0.7783,negative
15,327,0.34,positive
13,456,0.0258,neutral
14,362,-0.128,negative
14,373,0.0,neutral
14,350,-0.4084,negative
12,361,-0.4767,negative
18,484,0.0,neutral
15,373,0.0,neutral
12,344,0.0,neutral
9,360,-0.25,negative
13,591,0.3412,positive
13,300,-0.5423,negative
11,374,0.0,neutral
13,456,0.0,neutral
10,324,-0.7096,negative
14,415,-0.7891,negative
11,522,0.0772,positive
14,277,-0.8126,negative
17,594,-0.6808,negative
10,368,-0.6249,negative
17,542,-0.6705,negative
14,360,-0.4466,negative
12,394,0.0,neutral
16,436,0.0601,positive
11,347,-0.1027,negative
13,352,0.0,neutral
13,324,0.0,neutral
17,425,-0.7964,negative
13,632,0.128,positive
10,357,-0.6908,negative
12,383,0.0,neutral
15,488,-0.0772,negative
12,320,-0.6597,negative
9,404,0.0,neutral
18,515,0.0,neutral
11,594,0.0,neutral
13,318,-0.9317,negative
13,335,-0.3612,negative
10,621,0.0,neutral
13,250,0.0,neutral
14,241,0.3612,positive
12,233,-0.7269,negative
8,359,0.1027,positive
13,420,0.4648,positive
10,394,-0.4201,negative
13,311,-0.5829,negative
13,436,-0.34,negative
15,416,-0.4215,negative
14,518,0.233,positive
13,434,0.0,neutral
11,379,0.3666,positive
8,521,0.1832,positive
12,316,-0.5423,negative
14,465,-0.5423,negative
14,315,0.3814,positive
10,331,0.0,neutral
14,479,0.5574,positive
12,265,-0.5994,negative
11,571,0.0772,positive
17,305,-0.2247,negative
14,482,-0.7269,negative
10,400,-0.8126,negative
11,500,-0.6214,negative
13,363,0.4767,positive
19,312,-0.6249,negative
17,425,0.4297,positive
15,418,-0.9118,negative
15,545,0.7003,positive
14,346,0.0,neutral
15,356,-0.5267,negative
17,325,0.2382,positive
14,512,0.0,neutral
13,336,0.5473,positive
14,419,0.4019,positive
12,339,0.5319,positive
8,327,-0.34,negative
17,451,0.6369,positive
17,371,0.0,neutral
17,334,-0.2732,negative
13,798,-0.6249,negative
17,362,-0.6124,negative
20,527,0.5023,positive
11,382,-0.1531,negative
14,502,-0.0972,negative
10,330,-0.4215,negative
16,332,-0.4767,negative
16,333,0.5574,positive
19,657,0.0,neutral
13,374,0.5267,positive
12,434,-0.296,negative
13,308,-0.6739,negative
13,487,0.6369,positive
12,357,-0.4391,negative
15,332,-0.3729,negative
12,465,-0.5994,negative
13,318,-0.0772,negative
11,321,0.0,neutral
15,665,-0.3818,negative
20,333,0.6597,positive
13,293,-0.7845,negative
9,341,-0.2263,negative
12,642,0.0762,positive
14,347,0.5574,positive
13,507,-0.4215,negative
9,421,0.0,neutral
13,660,-0.34,negative
15,490,-0.4404,negative
17,440,-0.2263,negative
11,343,0.0,neutral
15,332,-0.1027,negative
13,528,-0.6597,negative
10,380,-0.7717,negative
13,410,0.4939,positive
11,572,0.05,positive
10,526,-0.4767,negative
11,304,-0.6908,negative
14,411,0.3612,positive
14,450,0.0,neutral
14,337,0.1779,positive
14,357,0.8957,positive
14,375,-0.3612,negative
11,307,-0.3818,negative
12,307,-0.6808,negative
10,478,-0.296,negative
15,479,0.25,positive
14,345,-0.5994,negative
13,350,-0.25,negative
15,586,0.0772,positive
10,423,0.0,neutral
15,304,0.8455,positive
14,388,0.128,positive
11,383,0.6633,positive
14,546,-0.5106,negative
12,323,-0.6597,negative
12,386,0.0,neutral
9,359,-0.5106,negative
15,398,-0.5719,negative
12,517,0.2023,positive
14,396,0.1531,positive
17,416,0.0,neutral
13,312,-0.2263,negative
13,446,-0.6124,negative
15,326,-0.8519,negative
10,484,-0.25,negative
9,376,0.5423,positive
11,377,-0.6633,negative
12,667,-0.5267,negative
13,434,0.1531,positive
15,329,-0.9068,negative
14,291,0.8636,positive
14,349,-0.6597,negative
15,388,-0.34,negative
13,481,-0.836,negative
15,229,0.743,positive
12,361,0.0,neutral
16,312,-0.3818,negative
14,388,0.0,neutral
12,379,-0.6486,negative
11,436,-0.2449,negative
11,312,0.4404,positive
14,458,-0.765,negative
17,339,0.296,positive
15,426,0.2732,positive
13,321,-0.6841,negative
10,282,-0.6908,negative
12,287,0.0516,positive
9,488,-0.6597,negative
13,319,-0.4767,negative
10,371,-0.4215,negative
12,361,-0.5647,negative
11,389,0.5773,positive
15,521,-0.5574,negative
15,482,-0.6486,negative
11,527,-0.5994,negative
16,319,-0.7346,negative
13,378,0.0,neutral
11,506,-0.3182,negative
15,411,-0.5994,negative
10,546,0.0,neutral
12,342,-0.5423,negative
13,377,0.5622,positive
14,489,-0.2732,negative
17,323,-0.5994,negative
16,384,0.3818,positive
12,419,-0.5994,negative
19,660,0.7184,positive
12,456,0.0,neutral
19,369,0.0,neutral
13,305,-0.5994,negative
11,582,-0.4019,negative
15,801,-0.5106,negative
9,392,0.0,neutral
10,633,0.4019,positive
13,493,-0.8074,negative
11,233,-0.4215,negative
16,307,0.5574,positive
14,333,-0.4215,negative
14,281,-0.3818,negative
9,413,0.0,neutral
10,323,0.6124,positive
10,628,0.0,neutral
13,475,-0.6486,negative
12,359,-0.4767,negative
14,253,-0.6124,negative
11,360,-0.6124,negative
12,433,0.0,neutral
13,364,-0.1027,negative
12,1009,0.0,neutral
14,393,-0.8519,negative
14,276,0.0258,neutral
14,604,0.0,neutral
14,405,0.2023,positive
17,391,-0.8074,negative
17,431,-0.3612,negative
16,421,0.0276,neutral
11,573,0.0,neutral
12,336,-0.6908,negative
11,609,-0.8807,negative
13,172,-0.6124,negative
12,537,-0.5859,negative
15,358,0.0,neutral
14,342,0.4404,positive
9,560,-0.8658,negative
11,311,-0.4588,negative
11,416,0.0,neutral
13,454,0.802,positive
14,282,0.0,neutral
17,477,-0.8434,negative
17,436,0.0,neutral
14,523,0.4767,positive
14,305,0.128,positive
20,305,0.296,positive
13,702,-0.4215,negative
14,374,0.4404,positive
13,421,-0.25,negative
12,712,-0.5106,negative
15,489,0.0,neutral
14,496,0.0,neutral
10,396,0.2732,positive
10,520,0.4215,positive
10,368,-0.4215,negative
9,526,-0.8038,negative
13,409,-0.25,negative
12,193,0.6369,positive
12,458,-0.7378,negative
12,539,-0.6808,negative
13,309,-0.296,negative
15,477,0.4215,positive
11,368,-0.2942,negative
13,359,0.0,neutral
13,366,-0.3818,negative
15,324,-0.3612,negative
23,361,-0.1027,negative
12,322,-0.1027,negative
10,451,-0.5719,negative
10,334,-0.128,negative
11,440,-0.8038,negative
10,373,-0.5423,negative
14,405,-0.5106,negative
13,395,-0.4767,negative
11,498,-0.3818,negative
12,350,-0.3328,negative
9,402,-0.4215,negative
11,388,0.7184,positive
17,446,-0.6124,negative
11,593,0.4588,positive
17,345,-0.0258,neutral
10,331,0.0,neutral
15,388,-0.4588,negative
14,540,0.5296,positive
10,451,0.2023,positive
15,373,-0.3182,negative
16,405,0.3818,positive
19,850,0.6192,positive
12,479,-0.7213,negative
12,331,-0.34,negative
11,241,0.4588,positive
12,380,0.0,neutral
12,423,0.7003,positive
14,385,-0.6597,negative
12,381,0.4404,positive
14,488,-0.4168,negative
12,385,0.0,neutral
13,419,-0.5994,negative
13,345,-0.6697,negative
15,426,-0.4404,negative
14,831,-0.7425,negative
14,448,-0.5267,negative
13,430,-0.7713,negative
11,414,-0.8481,negative
11,373,-0.5612,negative
13,330,0.0,neutral
15,371,-0.3182,negative
15,361,-0.5719,negative
15,330,-0.0258,neutral
14,388,0.0,neutral
14,406,-0.3818,negative
12,324,0.296,positive
14,388,0.7269,positive
16,368,0.4404,positive
13,414,-0.4404,negative
13,369,-0.5574,negative
15,349,0.2755,positive
15,507,-0.6289,negative
14,440,0.4617,positive
9,425,-0.8402,negative
9,515,0.0,neutral
7,487,-0.4939,negative
10,311,0.0,neutral
14,428,-0.7823,negative
15,419,-0.0173,neutral
13,467,-0.9517,negative
10,361,0.8555,positive
18,377,-0.6486,negative
11,549,0.5574,positive
11,483,-0.1779,negative
10,531,0.0,neutral
12,335,-0.34,negative
8,347,-0.3818,negative
9,371,-0.6808,negative
12,386,-0.2732,negative
12,361,-0.8415,negative
14,356,-0.5859,negative
16,512,-0.7783,negative
10,372,0.0,neutral
10,380,-0.3182,negative
11,408,0.4767,positive
16,404,0.2946,positive
11,417,-0.5842,negative
16,254,-0.4707,negative
9,495,-0.6486,negative
13,342,0.0,neutral
12,592,0.5267,positive
18,377,-0.4404,negative
18,588,0.0,neutral
11,526,0.0,neutral
12,379,-0.4939,negative
10,361,0.0,neutral
13,410,0.0,neutral
11,562,0.0,neutral
13,376,0.694,positive
14,611,0.4767,positive
13,565,-0.4939,negative
10,364,-0.3818,negative
14,492,0.0258,neutral
12,333,0.0,neutral
15,237,-0.5688,negative
13,357,-0.8636,negative
14,366,-0.5267,negative
14,344,-0.6633,negative
9,353,0.0,neutral
11,346,-0.4404,negative
11,656,-0.3612,negative
11,627,0.0,neutral
12,373,-0.7184,negative
20,339,-0.4767,negative
13,523,-0.8074,negative
14,193,-0.5719,negative
11,214,-0.2263,negative
11,493,-0.34,negative
19,611,0.0,neutral
18,376,-0.5423,negative
8,584,-0.6124,negative
21,261,-0.778,negative
15,314,-0.2924,negative
12,440,0.0,neutral
13,318,0.296,positive
14,584,-0.2732,negative
17,296,-0.5709,negative
9,519,0.3612,positive
17,586,-0.34,negative
14,236,0.4019,positive
10,257,0.128,positive
13,339,-0.3612,negative
15,367,-0.6632,negative
12,371,-0.4767,negative
15,484,0.2551,positive
15,543,-0.6408,negative
12,341,0.4019,positive
16,413,0.7351,positive
16,362,0.6633,positive
6,357,0.0,neutral
11,695,-0.7499,negative
14,271,0.0,neutral
12,315,-0.5994,negative
16,409,-0.1027,negative
15,615,-0.4767,negative
9,416,-0.3818,negative
13,388,-0.2732,negative
13,395,-0.3818,negative
11,361,0.0,neutral
11,373,0.4019,positive
8,460,-0.4588,negative
12,362,0.0,neutral
12,472,0.3612,positive
13,522,-0.2732,negative
15,459,0.3612,positive
14,624,0.3818,positive
12,590,-0.4019,negative
11,436,-0.5622,negative
15,604,-0.5106,negative
11,572,0.0,neutral
14,409,-0.3818,negative
16,378,-0.34,negative
10,405,0.0,neutral
15,314,-0.4588,negative
12,370,0.0,neutral
15,498,-0.8271,negative
14,626,-0.8658,negative
11,348,0.4019,positive
15,326,-0.6124,negative
14,373,0.0,neutral
10,125,-0.5267,negative
12,422,-0.128,negative
12,384,0.0,neutral
13,558,-0.1027,negative
15,353,-0.5859,negative
8,869,0.2342,positive
15,374,0.2144,positive
12,393,-0.3818,negative
15,332,0.0,neutral
14,313,-0.4215,negative
12,574,0.0,neutral
12,870,-0.5719,negative
11,211,0.0,neutral
12,434,-0.5859,negative
20,520,0.2023,positive
13,433,-0.5994,negative
15,317,-0.9062,negative
12,356,-0.875,negative
15,163,0.0,neutral
14,412,0.0,neutral
12,646,0.0,neutral
12,306,-0.5542,negative
15,320,-0.4648,negative
12,342,0.0,neutral
14,504,-0.5574,negative
13,335,0.4019,positive
12,346,0.0,neutral
17,515,-0.6908,negative
13,464,0.4648,positive
16,517,0.0,neutral
12,539,-0.296,negative
15,300,0.0,neutral
10,391,-0.296,negative
15,414,-0.6068,negative
11,358,-0.5423,negative
15,445,-0.8555,negative
14,384,0.1779,positive
15,502,-0.4215,negative
14,502,0.0,neutral
16,871,-0.6597,negative
15,385,-0.6124,negative
14,351,0.3612,positive
14,505,0.5574,positive
16,427,-0.3751,negative
11,459,0.296,positive
13,714,0.0,neutral
13,385,0.34,positive
13,382,0.0,neutral
10,345,0.4939,positive
15,451,-0.4939,negative
14,486,0.2732,positive
13,423,0.0,neutral
8,433,-0.296,negative
10,516,-0.7531,negative
13,323,0.25,positive
13,341,-0.5904,negative
15,382,0.0,neutral
16,505,-0.4767,negative
13,652,-0.5106,negative
13,812,0.0,neutral
14,347,0.0,neutral
15,615,0.0772,positive
16,317,0.0,neutral
14,492,0.7579,positive
14,340,0.0,neutral
14,425,-0.6166,negative
16,333,0.0,neutral
11,313,-0.1779,negative
14,595,-0.6597,negative
16,426,-0.836,negative
15,523,-0.34,negative
14,440,0.0,neutral
12,373,-0.2023,negative
14,272,0.0,neutral
13,343,-0.4939,negative
19,391,-0.6523,negative
9,484,-0.4939,negative
15,503,0.6908,positive
15,385,0.6705,positive
15,461,-0.296,negative
13,370,-0.4215,negative
12,504,-0.4019,negative
12,359,-0.4084,negative
13,431,-0.2263,negative
15,321,-0.5423,negative
16,326,0.0,neutral
14,326,-0.296,negative
15,490,0.2411,positive
15,459,0.6124,positive
15,805,0.4588,positive
11,319,-0.7783,negative
17,459,-0.5859,negative
16,444,-0.3182,negative
15,339,0.0,neutral
11,449,0.0,neutral
14,345,-0.7668,negative
13,334,-0.8807,negative
15,341,-0.5256,negative
10,461,0.0,neutral
12,620,-0.5994,negative
14,303,0.3612,positive
14,352,-0.886,negative
8,385,-0.4404,negative
13,483,-0.34,negative
15,380,0.0,neutral
17,445,-0.3182,negative
17,332,0.0,neutral
16,402,0.1477,positive
17,726,0.347,positive
16,357,0.5106,positive
10,328,-0.4824,negative
9,529,-0.3182,negative
15,400,-0.5106,negative
15,403,-0.8689,negative
15,466,-0.7717,negative
16,443,-0.3818,negative
15,582,-0.2815,negative
13,481,-0.2263,negative
16,354,0.3182,positive
18,502,0.0,neutral
15,314,0.2263,positive
14,326,-0.7351,negative
15,312,-0.6369,negative
12,517,0.0,neutral
15,604,0.0,neutral
11,338,-0.7845,negative
11,579,-0.6249,negative
13,312,0.4278,positive
14,342,0.0,neutral
17,329,0.6369,positive
14,313,-0.802,negative
10,637,-0.7269,negative
16,381,-0.9274,negative
17,382,-0.5574,negative
14,380,-0.5106,negative
12,522,0.0,neutral
17,540,-0.7739,negative
11,328,0.3274,positive
17,429,-0.4588,negative
18,453,0.0,neutral
16,557,-0.34,negative
14,426,0.0,neutral
10,460,0.0,neutral
10,357,0.7845,positive
14,762,-0.0516,negative
16,467,0.6369,positive
16,383,0.0,neutral
16,361,0.0,neutral
16,486,-0.1027,negative
13,554,0.2023,positive
12,445,-0.2177,negative
9,342,0.2732,positive
12,273,0.0,neutral
13,333,-0.802,negative
14,350,0.0,neutral
16,513,-0.4215,negative
12,250,-0.3718,negative
14,274,-0.6808,negative
14,444,-0.5859,negative
14,390,-0.6249,negative
11,485,-0.4939,negative
15,279,0.3447,positive
15,347,-0.6486,negative
12,445,-0.1779,negative
14,336,0.4939,positive
13,368,-0.5122,negative
9,414,0.0,neutral
11,658,0.0,neutral
9,332,-0.0516,negative
14,497,0.0,neutral
19,399,0.3612,positive
13,436,-0.4215,negative
11,286,0.128,positive
20,413,-0.7003,negative
15,460,0.0,neutral
12,311,0.4939,positive
15,372,-0.1027,negative
12,333,0.2023,positive
18,547,0.5106,positive
13,338,0.3818,positive
13,430,0.4019,positive
15,490,-0.34,negative
14,556,-0.34,negative
13,400,-0.6369,negative
18,599,0.4694,positive
14,319,-0.4215,negative
13,477,-0.8689,negative
14,506,-0.5267,negative
9,618,-0.7579,negative
14,292,-0.5106,negative
15,441,0.7672,positive
16,894,-0.1027,negative
12,329,-0.1697,negative
10,493,-0.5574,negative
15,335,0.3182,positive
16,929,0.0,neutral
11,205,-0.4019,negative
14,408,0.0,neutral
16,414,-0.7269,negative
14,357,-0.8176,negative
11,481,0.6846,positive
12,748,-0.3612,negative
13,705,0.0,neutral
15,507,0.0,neutral
12,403,-0.1531,negative
12,328,-0.4019,negative
12,406,0.0516,positive
14,601,0.7579,positive
14,234,0.0,neutral
13,447,-0.874,negative
18,752,-0.7783,negative
15,474,-0.1027,negative
13,439,0.0,neutral
13,422,-0.1779,negative
13,314,0.802,positive
10,330,-0.7579,negative
12,404,0.4877,positive
16,474,-0.7579,negative
18,498,0.4939,positive
14,308,-0.4824,negative
12,449,-0.4404,negative
14,356,0.1531,positive
14,380,-0.7269,negative
14,254,-0.2023,negative
15,494,-0.694,negative
11,322,0.2103,positive
14,356,0.6249,positive
12,520,-0.4404,negative
18,494,-0.5574,negative
12,346,0.0,neutral
11,630,-0.1531,negative
13,307,0.0,neutral
16,534,0.0,neutral
14,459,-0.4019,negative
16,507,0.0,neutral
15,500,-0.5574,negative
13,1063,0.3818,positive
14,434,0.4019,positive
17,341,0.4404,positive
15,489,0.0,neutral
16,407,-0.128,negative
16,464,0.3818,positive
17,432,0.128,positive
14,349,-0.0772,negative
15,358,0.6841,positive
14,319,0.0258,neutral
18,330,0.5994,positive
16,525,-0.6486,negative
16,339,-0.6486,negative
18,577,0.6705,positive
12,620,-0.6486,negative
10,335,0.0,neutral
18,381,0.34,positive
14,273,0.4215,positive
13,455,0.0,neutral
15,372,0.466,positive
11,356,-0.4404,negative
16,332,-0.5574,negative
8,398,0.5574,positive
10,496,-0.5994,negative
11,469,-0.4588,negative
15,249,-0.7739,negative
16,329,0.2609,positive
12,316,-0.6124,negative
13,252,-0.4019,negative
14,353,-0.3197,negative
12,332,0.0,neutral
13,727,-0.6705,negative
14,732,0.4588,positive
7,353,-0.25,negative
16,258,-0.0943,negative
10,330,0.0,neutral
12,286,-0.4648,negative
15,450,-0.6486,negative
16,483,0.0,neutral
14,347,0.3612,positive
16,596,-0.296,negative
11,383,-0.7184,negative
15,426,0.6597,positive
18,456,0.7841,positive
11,531,-0.4824,negative
11,407,-0.2263,negative
13,333,0.0,neutral
16,312,0.0,neutral
8,276,-0.1111,negative
16,408,-0.296,negative
11,335,0.0516,positive
13,356,0.5423,positive
11,377,-0.5622,negative
13,371,0.128,positive
12,401,0.1531,positive
15,404,0.6633,positive
14,371,0.0,neutral
14,380,-0.5574,negative
15,661,-0.3612,negative
12,363,0.0,neutral
13,383,-0.8225,negative
16,835,-0.3182,negative
11,559,0.0,neutral
